Subject,accuracy,macro_f1,weighted_f1,num_rows,num_trials
sub2b,0.8861859614105123,0.7384086724628587,0.8800401656677306,48096,96
sub3,0.8988539774383817,0.7558140790446203,0.8949374043115508,44589,89
sub4,0.921863040835622,0.8414071106137746,0.9216593042228212,133266,266
sub5,0.8772006160689002,0.6907708130575657,0.8616576939058339,144789,289
sub6,0.9084322704072824,0.7781901653490788,0.9015691531733376,144789,289
