Method,gr_gap_threshold,num_ambiguous_rows,percent_of_common_rows,accuracy,macro_f1,weighted_f1
GR,0.25,7357,5.94923299612657,0.3872502378686965,0.3906708195113889,0.38653386443856014
BF,0.25,7357,5.94923299612657,0.6457795296996058,0.6727168046318882,0.6447316460267524
E2E,0.25,7357,5.94923299612657,0.7104798151420416,0.7296814741247373,0.7141058367922036
