method,num_rows,num_trials,accuracy,macro_f1,weighted_f1
GR,123663,1029,0.8496316602379046,0.604257743280498,0.8389141110838605
BF,123663,1029,0.8778616077565642,0.7034434571575964,0.8693246334725069
E2E,123663,1029,0.8997598311540235,0.7715354582781373,0.8946759030803728
