Method,accuracy,macro_f1,weighted_f1,num_rows,num_trials
BF,0.9024978366342891,0.70497494153016,0.8953391246203912,617094,1029
E2E,0.900228697124701,0.7728495361497754,0.8952140751800334,515529,1029
GR,0.8796435515230071,0.6064513696008867,0.8709308081230468,617200,1029
