time_ms,accuracy,macro_f1,weighted_f1,num_rows,num_trials
0,1.0,1.0,1.0,1029,1029
500,1.0,1.0,1.0,1029,1029
1000,0.9970845481049563,0.24963503649635035,0.9985401459854013,1029,1029
1500,0.9863945578231292,0.14187866927592954,0.9931506849315068,1029,1029
2000,0.4655004859086492,0.2960853283201428,0.42221553820615754,1029,1029
2500,0.8483965014577259,0.7773515798341054,0.8698177606106234,1029,1029
