class,precision,recall,f1_score,support
Clean-table,0.9302678571428571,0.6770860410709644,0.7837370242214533,15388.0
Nothing,0.923895690213931,0.9791689885409174,0.950729650550804,493495.0
Pick-up-backpack,0.8652079956780119,0.6244070439924622,0.7253444046046423,15389.0
Push-chair,0.8048780487804879,0.7396219060611966,0.7708714198659354,15393.0
Sit-on-chair,0.6235391260162602,0.6329464861379756,0.6282075894285531,15510.0
Sit-on-couch,0.7334231165333122,0.5970207003288838,0.6582296480625667,15507.0
Sit-on-table,0.7088326127239036,0.3727426269975315,0.48856911745923626,15394.0
Stand-on-couch,0.876503535028923,0.6155135727642014,0.7231818181818181,15509.0
Wear-backpack,0.7729529743939246,0.5118963182668128,0.6159038013964313,15509.0
